时间,值_x,值_y
2024-05-27 11:18:35,424.245239,12.7197266
2024-05-27 11:18:30,424.279816,12.7227783
2024-05-27 11:18:25,427.528259,12.6983643
2024-05-27 11:18:20,421.834381,12.701416
2024-05-27 11:18:15,424.6029,12.7197266
2024-05-27 11:18:10,425.342072,12.701416
2024-05-27 11:18:05,424.8252,12.7044678
2024-05-27 11:18:00,426.3031,12.7044678
2024-05-27 11:17:55,429.980316,12.67395
2024-05-27 11:17:50,423.890869,12.6708984
2024-05-27 11:17:45,421.013824,12.65564
2024-05-27 11:17:40,423.8065,12.701416
2024-05-27 11:17:35,429.859,12.6831055
2024-05-27 11:17:30,433.027344,12.6953125
2024-05-27 11:17:25,430.9776,12.6983643
2024-05-27 11:17:20,431.743652,12.701416
2024-05-27 11:17:15,431.3185,12.65564
2024-05-27 11:17:10,432.9847,12.701416
2024-05-27 11:17:05,430.657318,12.67395
2024-05-27 11:17:00,432.096436,12.67395
2024-05-27 11:16:55,430.522156,12.67395
2024-05-27 11:16:50,434.472229,12.6831055
2024-05-27 11:16:45,436.16864,12.677002
2024-05-27 11:16:40,440.3134,12.7044678
2024-05-27 11:16:35,437.648224,12.67395
2024-05-27 11:16:30,437.044464,12.7197266
2024-05-27 11:16:25,437.114655,12.6831055
2024-05-27 11:16:20,438.120117,12.7197266
2024-05-27 11:16:15,434.91922,12.7166748
2024-05-27 11:16:10,439.113373,12.7197266
2024-05-27 11:16:05,436.8756,12.7319336
2024-05-27 11:16:00,435.07196,12.7532959
2024-05-27 11:15:55,436.529724,12.7380371
2024-05-27 11:15:50,441.2104,12.7563477
2024-05-27 11:15:45,433.8869,12.7838135
2024-05-27 11:15:40,435.192535,12.802124
2024-05-27 11:15:35,432.093475,12.802124
2024-05-27 11:15:30,432.295319,12.8173828
2024-05-27 11:15:25,434.4702,12.802124
2024-05-27 11:15:20,436.9951,12.8540039
2024-05-27 11:15:15,432.5367,12.8601074
2024-05-27 11:15:10,431.8122,12.89978
2024-05-27 11:15:05,432.412842,12.902832
2024-05-27 11:15:00,435.154175,12.9364014
2024-05-27 11:14:55,430.702271,12.979126
2024-05-27 11:14:50,433.5338,12.9852295
2024-05-27 11:14:45,429.05777,12.9974365
2024-05-27 11:14:40,428.042542,13.0187988
2024-05-27 11:14:35,430.051758,13.0371094
2024-05-27 11:14:30,429.80127,13.0523682
2024-05-27 11:14:25,433.1017,13.0981445
2024-05-27 11:14:20,428.359161,13.1408691
2024-05-27 11:14:15,424.764679,13.1225586
2024-05-27 11:14:10,422.6814,13.1500244
2024-05-27 11:14:05,428.1673,13.1622314
2024-05-27 11:14:00,427.342316,13.1958008
2024-05-27 11:13:55,424.563446,13.1866455
2024-05-27 11:13:50,425.229553,13.2049561
2024-05-27 11:13:45,426.399139,13.192749
2024-05-27 11:13:40,428.013855,13.2232666
2024-05-27 11:13:35,425.288757,13.2415771
2024-05-27 11:13:30,424.1634,13.2202148
2024-05-27 11:13:25,421.8246,13.2232666
2024-05-27 11:13:20,422.7887,13.2385254
2024-05-27 11:13:15,422.438965,13.2659912
2024-05-27 11:13:10,421.6299,13.2385254
2024-05-27 11:13:05,423.151367,13.2659912
2024-05-27 11:13:00,427.3428,13.269043
2024-05-27 11:12:55,419.5808,13.28125
2024-05-27 11:12:50,420.7509,13.2843018
2024-05-27 11:12:45,428.311,13.2629395
2024-05-27 11:12:40,420.570465,13.3026123
2024-05-27 11:12:35,422.097229,13.3056641
2024-05-27 11:12:30,423.76767,13.3026123
2024-05-27 11:12:25,421.301,13.3209229
2024-05-27 11:12:20,425.1501,13.2904053
2024-05-27 11:12:15,421.806763,13.3026123
2024-05-27 11:12:10,425.068054,13.3087158
2024-05-27 11:12:05,428.911072,13.2843018
2024-05-27 11:12:00,426.589569,13.3148193
2024-05-27 11:11:55,427.1412,13.3270264
2024-05-27 11:11:50,428.015533,13.3392334
2024-05-27 11:11:45,427.483948,13.3209229
